dimm_id,date_time,error_type
8bca629b0aae6f38e1ad5017e1d21cb2,2015-08-25 07:19:37,Uncorrectable ECC
1dc316c209309ea4c7ca330a85759f45,2015-08-26 00:47:47,Uncorrectable ECC
969f10daf2ff43b9aaec814715b64aba,2015-08-26 01:40:18,Uncorrectable ECC
5a4ce190eedc40c9f3340fbd1638fb46,2015-08-29 22:54:10,Memory Scrub Failed (stuck bit)
d6eac0e76ba2b12000c6d80020fa3473,2015-08-30 12:34:31,Uncorrectable ECC
46fff150eedab6701111413ac4e2bca0,2015-09-20 08:45:34,Uncorrectable ECC
a5e87f7a295f0b33cc2d8c10c319b457,2015-09-25 09:10:37,Uncorrectable ECC
46fff150eedab6701111413ac4e2bca0,2015-09-28 01:14:09,Uncorrectable ECC
a5e87f7a295f0b33cc2d8c10c319b457,2015-09-28 13:20:12,Uncorrectable ECC
d91a1a5dffe51f2803602c6157a5f798,2015-10-05 12:10:47,Critical Overtemperature
aea31a40cc146911ce52582479c23ab4,2015-10-07 11:18:14,Critical Overtemperature
aaa2c3f79d072ce3e322d64907479b46,2015-11-12 04:11:12,Uncorrectable ECC
229cd6cc7952e669eb613f5e729c781a,2015-11-21 21:17:17,Uncorrectable ECC
cf06d961d5e23f69d9657cd9025b16ef,2015-12-03 17:48:03,Critical Overtemperature
d7ed3bd56727e68b7a29ff67e37bdee2,2015-12-14 21:03:07,Uncorrectable ECC
f26718ee00279bef859ebb22927a0e91,2015-12-16 14:14:27,Uncorrectable ECC
5a4ce190eedc40c9f3340fbd1638fb46,2016-01-01 03:38:37,Uncorrectable ECC
5a4ce190eedc40c9f3340fbd1638fb46,2016-01-01 10:13:10,Memory Scrub Failed (stuck bit)
265ffd77d35f15c1938ddf51ce913b6d,2016-01-07 23:55:29,Uncorrectable ECC
742f284aa1f6fd352f14cd52b763575c,2016-02-18 04:51:06,Uncorrectable ECC
7971e9e57ee0073532452ad7311342a0,2016-02-20 03:11:30,Uncorrectable ECC
236d3062b6024fbefb3a36c23fc3e317,2016-02-20 03:11:43,Uncorrectable ECC
d3fc13551f7739b1f915df3be9cbb98d,2016-02-21 12:15:44,Memory Scrub Failed (stuck bit)
742f284aa1f6fd352f14cd52b763575c,2016-02-21 17:18:52,Uncorrectable ECC
d3fc13551f7739b1f915df3be9cbb98d,2016-02-23 02:28:13,Memory Scrub Failed (stuck bit)
bdcb25344f1bc6d4d3625979ccb55c32,2016-03-21 05:02:45,Uncorrectable ECC
742f284aa1f6fd352f14cd52b763575c,2016-03-26 19:49:57,Uncorrectable ECC
2d78e1032112c8db5820093d2687f5ec,2016-04-04 10:15:42,Uncorrectable ECC
742f284aa1f6fd352f14cd52b763575c,2016-04-04 16:12:12,Memory Scrub Failed (stuck bit)
349820996652ad48184fea1badc1833b,2016-05-17 09:49:29,Critical Overtemperature
1ab8fba2c398202f1f3e4cc6899a5de6,2016-05-17 09:53:37,Critical Overtemperature
2d78e1032112c8db5820093d2687f5ec,2016-05-22 19:54:21,Uncorrectable ECC
2d78e1032112c8db5820093d2687f5ec,2016-05-27 16:36:51,Uncorrectable ECC
caf13060b081754501eb308b3e51d827,2016-06-02 11:13:58,Critical Overtemperature
caf13060b081754501eb308b3e51d827,2016-06-02 11:19:37,Critical Overtemperature
742f284aa1f6fd352f14cd52b763575c,2016-06-09 06:43:23,Uncorrectable ECC
742f284aa1f6fd352f14cd52b763575c,2016-06-09 18:27:50,Memory Scrub Failed (stuck bit)
e56380ad5b0b6f316e5ae41a48b8d72d,2016-06-20 05:23:20,Uncorrectable ECC
b211208559b3edac91cb39beef094adf,2016-07-07 02:05:55,Critical Overtemperature
b211208559b3edac91cb39beef094adf,2016-07-07 02:13:58,Critical Overtemperature
a75b9f5c6c091e58bdf0dd3088fc718b,2016-07-07 16:56:40,Uncorrectable ECC
a75b9f5c6c091e58bdf0dd3088fc718b,2016-07-17 02:46:06,Uncorrectable ECC
4b474d7e6ccba0be96cb306af8b4a7ff,2016-07-20 00:54:31,Uncorrectable ECC
52f8714d1b6fc15b1bcb83af61795724,2016-07-21 04:48:54,Uncorrectable ECC
4c4f6d7439ef4a77c1da4551178d61a4,2016-08-18 06:01:57,Critical Overtemperature
8ba16a40bee264d383ff9d0312801fda,2016-08-25 20:46:12,Uncorrectable ECC
060dd6761b29c129a483651809f92352,2016-08-25 21:47:49,Uncorrectable ECC
fc0c9ae973747c12ab034c5bacddf018,2016-08-31 08:51:32,Uncorrectable ECC
d2c3998bc7c5e624b21e3d39f5059e07,2016-09-07 03:55:24,Critical Overtemperature
e64aec69024e114cabb34c79faef9a01,2016-10-28 23:32:30,Uncorrectable ECC
e23f45c4adaa8e4755d4492899ed4298,2016-10-30 08:01:01,Uncorrectable ECC
a69f92f0350201b5e99de3a78cc11591,2016-10-31 14:24:25,Uncorrectable ECC
3a5e992060dd806cfbd729bdd9c4dcc4,2016-10-31 16:36:33,Uncorrectable ECC
7c807f418bf9e6041962821aa8f8430c,2016-10-31 16:36:48,Uncorrectable ECC
